Timestamps,
2601756,3
2610716,2
2612658,2
2625373,1
2629890,1
2633068,20
2638647,4
2639321,4
2642173,0
2643930,0
2660928,3
2662518,3
2666646,20
2670311,2
2672427,2
2679336,1
2684596,1
2699628,4
2700612,4
2701240,0
2705026,0
2707078,20
2708140,3
2713234,3
2718204,2
2728955,2
2736547,1
2737568,1
2739948,4
2740845,4
2746348,20
2748271,0
2757382,0
2761273,3
2765565,3
2770514,2
2773366,2
2784442,1
2787156,20
2788672,1
2799343,4
2800272,4
2801104,0
2802893,0
2816962,20
2819805,3
2821101,3
2830828,2
2832978,2
2836744,1
2837849,1
2847254,4
2848749,0
2852952,4
2855409,0
2857674,20
2867527,3
2870807,2
2876129,2
2883289,1
2890193,1
2896746,20
2898279,4
2900368,4
2900986,0
2902681,0
2919715,3
2923816,3
2929846,2
2932957,2
2936608,1
2937432,1
2938138,20
2947344,4
2952921,4
2964120,0
2970367,0
2976788,20
2978638,2
2979737,3
2980678,3
2984880,2
2996775,1
2997934,1
2999240,4
3000968,4
3008646,0
3014882,0
3017422,20
3030119,3
3031274,2
3031991,2
3033024,3
3043076,1
3050433,4
3051595,1
3051907,4
3056578,20
3062948,0
3064134,0
3079189,2
3081045,3
3081677,3
3084482,2
3097550,1
3098568,1
3099053,20
3100195,4
3100909,4
3121325,0
3122240,0
3133444,2
3134766,2
3137395,20
3139732,3
3141102,3
3143550,1
3148557,1
3160229,4
3160926,4
3167099,0
3174815,0
3177328,20
3178652,2
3184244,2
3185609,3
3193097,3
3197964,1
3199367,1
3206155,4
3207327,20
3213177,4
3221114,0
3222028,0
3230550,2
3232707,2
3240420,3
3242943,3
3247425,20
3256777,1
3257656,1
3259233,4
3260027,4
3281982,0
3283141,0
3286581,20
3290847,2
3293214,2
3300319,3
3301460,3
3304430,1
3309296,4
3310525,1
3313271,4
3328273,0
3330116,20
3335528,0
3338143,2
3345042,2
3348402,3
3353021,3
3356128,1
3357310,1
3359352,4
3361679,4
3369049,20
3379870,0
3382730,0
3392036,2
3393259,2
3399218,3
3403530,3
3408670,1
3410962,20
3411801,1
3419464,4
3420214,4
3427700,0
3435656,0
3438683,2
3445707,2
3446646,20
3457457,1
3459214,1
3461256,3
3462742,3
3465921,4
3473714,4
3487446,20
3488758,0
3490953,2
3492823,2
3495205,0
3505994,1
3507791,3
3509848,1
3512942,3
3520265,4
3521557,4
3527173,20
3539477,0
3543183,0
3552547,2
3553740,2
3557289,1
3557904,20
3559129,1
3562119,3
3569298,4
3573063,4
3586635,0
3595308,0
3597147,20
3598696,2
3604356,2
3617074,1
3617940,1
3619214,4
3620076,4
3621003,3
3622063,3
3637530,20
3639315,0
3642333,0
3651139,2
3653006,2
3663739,1
3667759,4
3670513,1
3672028,3
3676949,3
3677649,4
3679722,20
3697887,2
3700478,0
3703859,0
3705213,2
3716526,1
3719489,20
3720424,3
3720702,4
3721335,1
3722499,4
3723716,3
3750146,0
3756439,0
3756919,20
3758651,2
3765761,2
3777360,1
3778214,1
3779790,4
3781078,3
3781541,4
3782909,3
3797253,20
3801263,0
3802143,0
3811143,2
3812618,2
3816767,1
3817515,1
3826425,4
3828507,3
3833491,4
3833999,3
3837433,20
3847970,0
3855069,0
3858444,2
3865682,2
3876492,1
3877664,20
3878620,1
3879958,3
3880473,4
3881416,3
3882925,4
3907052,20
3908534,0
3910632,2
3912424,2
3915897,0
3924139,1
3927990,4
3930428,1
3931686,4
3939881,3
3941022,3
3947625,20
3960117,2
3963015,0
3964208,0
3965779,2
3976954,1
3978606,1
3981137,4
3982554,4
3987179,3
3988761,20
3993862,3
4012507,2
4013300,2
4021835,0
4023204,0
4025489,1
4027419,20
4029518,1
4039604,4
4040666,3
4042208,4
4043409,3
4067048,20
4073577,2
4074402,2
4076051,0
4076808,1
4077661,1
4080232,4
4082283,4
4093007,3
4094215,3
4109226,20
4119037,2
4121227,0
4122796,0
4124846,2
4136719,1
4137650,20
4137967,1
4138540,4
4140111,4
4146440,3
4155041,3
4169607,0
4173334,2
4175243,2
4175740,0
4184069,1
4187301,4
4188754,20
4189832,1
4193800,4
4199492,3
4200354,3
4222223,0
4223638,0
4226684,20
4229742,2
4232601,2
4237271,1
4238075,1
4239541,4
4240887,4
4247611,3
4253682,3
4257460,20
4271887,2
4272886,2
4282186,0
4283606,0
4285618,1
4287511,4
4290449,1
4292760,4
4296868,20
4307655,3
4314110,3
4327487,0
4331728,2
4332613,2
4335989,0
4337429,1
4339388,1
4339662,4
4345866,4
4348172,20
4361795,3
4362708,3
4377211,20
4379056,2
4380151,0
4382088,0
4385362,2
4395679,1
4396430,1
4400018,4
4400874,4
4406379,3
4413633,3
4421421,20
4430677,2
4432342,2
4442390,4
4443702,4
4444110,0
4445140,0
4446949,1
4449968,1
4460385,3
4462369,3
4463930,20
4479294,2
4485294,2
4492667,0
4495773,20
4496607,0
4497838,1
4498860,4
4499617,1
4500182,4
4520659,3
4522234,3
4529021,20
4531162,2
4534635,2
4540703,0
4543437,0
4546156,1
4547519,4
4550502,1
4553150,4
4567005,3
4568836,20
4573122,3
4591424,2
4592975,2
4596882,1
4599470,4
4600341,1
4601058,0
4601886,4
4602099,0
4607121,20
4619214,3
4620165,3
4639074,2
4645957,4
4646984,2
4647833,0
4649283,20
4653262,4
4655595,0
4657095,1
4659145,1
4681143,3
4681984,3
4687957,20
4691922,2
4692700,2
4701917,0
4702857,0
4704027,1
4706031,4
4710494,1
4712932,4
4728022,3
4730505,20
4732344,3
4738030,2
4746270,2
4748521,0
4756511,1
4757767,0
4758039,1
4758613,4
4759754,20
4760045,4
4780906,3
4782063,3
4792318,2
4793441,2
4798027,20
4801448,0
4802281,0
4804623,1
4806027,4
4811675,1
4811909,4
4837349,20
4840434,3
4841447,3
4852597,2
4856677,1
4857904,2
4859478,1
4860717,4
4864154,4
4865127,0
4865806,0
4879921,20
4885705,3
4893367,3
4899575,2
4905840,2
4907357,4
4908384,0
4912891,4
4916694,1
4916970,0
4917681,1
4918534,20
4940136,3
4941164,3
4950709,2
4952824,2
4957679,20
4959606,4
4960505,4
4963034,0
4963797,0
4964827,1
4970615,1
4997373,20
4999018,2
5000246,3
5001204,3
5005099,2
5017296,1
5017995,1
5020021,4
5020940,4
5021619,0
5022609,0
5037756,20
5040234,3
5041763,3
5050482,2
5053490,2
5064001,1
5066958,4
5067877,20
5068711,0
5069733,1
5073799,4
5075890,0
5099819,3
5101489,3
5108416,20
5109532,2
5112463,2
5116331,1
5117371,1
5120315,4
5125137,0
5128333,0
5147519,20
5158826,2
5161167,3
5162611,3
5166559,2
5167333,4
5176894,4
5180204,0
5183312,1
5183558,0
5187838,20
5205174,3
5206284,3
5210947,2
5212956,2
5217204,1
5217932,1
5219477,4
5220301,4
5227568,20
5236008,0
5239301,0
5258977,2
5261097,3
5262572,3
5266131,4
5267369,2
5269707,20
5273008,4
5277488,1
5278594,1
5282941,0
5283906,0
5307232,3
5308486,20
5311538,2
5312540,2
5313237,3
5324800,1
5327933,4
5329132,0
5330731,1
5332136,4
5335134,0
5347998,20
5361113,3
5362717,3
5372101,2
5373716,2
5377750,1
5378713,1
5380660,4
5381668,4
5387207,20
5388935,0
5395040,0
5418756,2
5420553,3
5422040,3
5431813,2
5432752,4
5436853,20
5437494,1
5437649,4
5441273,0
5442071,0
5457020,20
5466823,3
5474149,2
5475967,2
5480708,4
5481473,4
5483689,1
5489245,0
5490040,1
5495508,0
5498269,20
5518880,2
5519728,3
5521650,3
5526242,4
5527052,2
5532890,4
5537932,20
5538725,1
5539783,1
5549068,0
5556803,0
5573219,2
5574137,2
5577869,20
5579802,4
5583688,3
5584103,4
5585759,1
5589894,1
5600231,0
5604197,0
5617166,20
5626288,3
5629140,4
5630498,2
5632329,3
5632814,4
5633331,2
5636831,1
5639860,1
5648380,0
5656286,0
5659681,20
5677322,2
5679146,4
5680276,4
5680626,3
5681842,3
5685765,2
5697496,20
5698015,1
5698882,1
5702193,0
5703373,0
5726327,3
5730384,2
5732201,3
5732527,2
5738018,20
5739434,4
5740377,4
5744496,1
5749961,1
5763203,0
5765769,0
5767418,20
5779521,2
5785420,2
5786118,3
5787256,4
5790883,3
5792495,4
5796555,1
5797801,1
5807755,0
5815426,0
5817842,20
5830811,2
5832761,2
5837478,4
5839841,3
5841121,4
5841383,3
5845860,1
5847301,20
5850668,1
5862034,0
5863667,0
5886050,4
5887589,3
5889359,20
5892547,2
5894888,4
5895181,3
5897393,1
5898168,1
5921316,0
5922210,0
5929103,20
5938481,4
5939455,2
5940205,4
5940445,3
5941046,3
5945737,2
5956898,1
5960905,1
5968481,20
5970023,0
5975452,0
5986226,4
5993370,2
5994377,4
5994628,2
5999743,3
6001163,3
6005111,1
6008785,20
6016977,1
6023135,0
6025016,0
6038106,2
6039079,4
6039822,4
6045372,2
6046723,3
6050341,20
6053099,3
6057492,1
6060638,1
6068923,0
6074944,0
6088324,20
6098860,2
6099968,3
6100165,4
6100621,4
6101506,3
6104755,1
6105803,2
6111295,1
6127488,0
6129573,20
6135838,0
6146380,4
6149602,2
6153821,2
6154231,4
6156615,1
6157840,1
6160413,3
6163178,3
6167641,20
6181757,0
6182664,0
6198136,2
6199489,4
6200538,4
6204385,1
6206036,2
6206864,3
6208156,20
6210222,1
6212878,3
6227873,0
6237125,0
6238577,20
6247457,4
6250750,2
6252522,4
6254111,2
6260478,3
6261843,3
6265534,1
6270444,1
6280334,20
6281752,0
6282760,0
6297567,2
6299481,4
6301169,4
6305195,2
6305833,3
6314073,3
6314816,1
6316987,1
6317365,20
6343129,0
6344301,0
6352054,2
6353119,2
6358132,20
6359004,4
6360025,3
6360922,3
6361278,4
6365844,1
6370895,1
6387486,0
6395289,0
6397684,20
6406216,4
6413151,2
6413851,4
6414106,2
6417592,1
6418453,1
6419577,3
6420463,3
6439156,20
6440973,0
6442767,0
6457765,2
6458762,4
6460057,4
6464744,1
6465866,2
6467252,3
6468307,20
6471143,1
6472457,3
6501044,0
6506205,4
6507178,0
6511354,2
6513369,4
6515507,2
6518158,20
6519082,3
6520485,3
6524914,1
6531043,1
6548626,0
6549885,20
6557066,0
6559413,2
6560807,4
6561836,4
6566215,2
6577571,1
6578544,1
6579329,3
6581006,3
6588665,20
6601499,0
6602758,0
6606367,4
6612075,2
6613289,2
6613574,4
6625170,1
6628070,3
6630641,20
6631189,1
6632363,3
6657991,4
6662119,0
6662954,4
6663933,0
6668146,20
6671521,2
6673342,2
6676435,1
6678950,3
6679621,3
6680643,1
6697354,20
6700358,0
6702901,0
6716571,4
6717895,2
6719586,4
6725476,2
6736851,1
6737593,1
6738817,20
6739916,3
6741079,3
6763709,0
6765151,0
6765895,4
6770900,2
6773259,4
6773623,2
6777297,20
6778056,1
6785260,3
6792786,3
6794003,1
6817394,0
6819893,20
6821150,2
6822357,4
6825091,2
6835197,1
6837452,1
6842992,3
6844204,3
6857935,20
6861978,0
6864376,0
6865199,4
6871138,2
6880831,2
6884096,1
6886617,3
6889766,1
6892137,3
6898573,20
6918576,4
6920058,4
6921938,0
6922885,0
6933518,2
6935894,2
6937242,1
6938330,1
6938678,20
6939520,3
6940387,3
6966063,4
6970078,0
6973344,4
6975659,0
6980107,2
6982544,20
6985232,2
6994086,1
6997196,1
6998626,3
6999448,3
7007317,20
7019423,4
7022043,0
7025029,0
7031846,2
7032977,2
7043170,1
7046582,3
7049035,20
7050828,1
7051984,3
7078775,4
7080158,2
7081265,4
7081948,0
7083213,0
7084833,2
7087987,20
7096993,1
7097776,1
7099065,3
7101462,3
7126283,4
7128510,20
7130497,0
7132951,2
7134095,2
7134361,4
7135359,0
7144833,1
7146118,3
7148956,1
7153814,3
7168106,20
7181407,0
7183189,4
7183426,0
7191641,2
7192596,2
7196720,1
7197794,1
7207910,3
7211689,3
7212630,20
7226063,4
7234546,4
7243320,0
7244793,1
7245548,0
7245844,2
7248038,20
7250621,1
7261636,3
7262347,3
7279780,4
7284971,4
7289188,20
7290070,2
7290822,0
7292378,2
7295028,0
7296296,1
7297388,1
7307185,3
7312228,3
7328169,20
7338216,2
7340648,4
7341225,0
7342719,0
7346623,2
7354331,1
7357220,1
7359823,3
7364842,3
7368443,20
7385929,4
7389415,2
7392452,2
7393080,4
7402495,0
7403768,1
7404848,0
7408242,20
7409789,1
7419067,3
7423859,3
7439280,20
7440705,4
7441586,4
7449025,0
7450558,2
7454155,2
7456208,0
7457021,1
7458198,1
7468646,3
7472214,3
7478051,20
7487229,4
7492670,4
7497296,2
7500508,0
7504128,1
7505362,2
7506405,0
7509271,1
7518536,20
7519582,3
7523464,3
7539985,4
7541242,4
7548955,0
7550063,2
7553313,2
7555697,1
7556599,0
7557022,1
7558006,20
7578547,3
7579932,3
7587349,4
7593173,4
7597606,2
7601097,20
7605432,2
7609756,0
7615678,0
7616655,1
7617513,1
7627738,3
7631893,3
7639289,20
7640640,4
7641512,4
7650934,2
7652918,2
7663274,0
7663977,1
7665144,0
7670782,1
7678748,20
7679826,3
7683544,3
7699798,4
7700980,4
7708776,2
7710023,0
7712835,2
7715704,1
7716644,0
7717032,1
7717906,20
7726605,3
7731535,3
7739626,4
7740883,4
7756992,2
7758581,20
7763854,1
7765008,0
7766046,0
7768050,2
7770280,1
7778145,3
7779607,3
7787768,20
7800293,4
7801124,4
7809559,2
7812530,2
7816296,1
7817318,1
7822785,0
7824474,0
7829286,20
7839159,3
7843428,3
7847710,4
7852622,4
7856483,2
7865466,2
7869147,20
7869887,0
7876002,0
7876785,1
7879203,1
7886479,3
7892598,3
7900117,4
7900955,4
7908886,20
7910314,2
7912857,2
7923641,1
7930016,0
7932025,1
7935925,0
7939332,3
7941881,3
7949474,4
7954733,20
7955243,4
7970586,2
7972787,2
7977283,1
7978562,1
7982621,0
7983690,0
7998227,20
7999586,3
8000282,4
8001829,4
8002879,3
8017203,2
8023388,1
8024990,2
8029188,0
8031203,20
8031782,1
8036283,0
8047808,3
8052248,3
8059475,4
8061561,4
8069016,20
8070180,2
8072424,2
8078165,1
8079335,1
8082260,0
8084843,0
8099310,3
8100819,3
8107558,4
8108895,20
8113133,4
8116579,2
8125053,2
8136554,1
8138262,1
8142487,0
8144245,0
8148924,20
8159771,4
8161044,3
8161526,4
8162854,3
8170326,2
8172350,2
8177094,1
8178564,1
8188921,20
8189993,0
8195049,0
8199533,3
8202291,3
8207413,4
8211888,4
8219296,20
8229872,2
8234417,2
8237258,1
8238192,1
8242054,0
8243834,0
8258367,20
8261461,3
8262352,3
8268870,4
8273226,4
8276964,2
8290237,1
8294037,2
8294319,1
8298930,20
8302578,0
8303347,0
8307821,3
8313150,3
8321080,4
8323335,4
8329674,2
8331688,2
8337385,1
8341518,1
8343615,20
8348759,0
8357076,0
8360715,3
8362285,3
8368421,4
8374347,4
8377227,2
8380646,20
8384992,2
8396573,1
8397454,1
8402768,0
8404096,0
8418676,4
8419900,3
8420907,3
8421380,20
8421765,4
8429583,2
8432609,2
8444598,1
8451464,1
8458679,20
8462728,0
8464348,0
8468294,4
8469811,3
8472921,3
8473745,4
8489420,2
8492472,2
8496227,1
8497005,1
8497743,20
8509768,0
8519751,4
8520839,3
8523058,4
8529436,2
8533576,2
8538620,20
8542374,1
8549481,1
8564055,0
8564866,0
8568607,3
8569767,20
8572520,3
8581656,4
8583099,4
8589265,2
8592609,2
8596531,1
8597364,1
8609094,20
8621998,0
8623993,0
8625303,3
8627356,4
8631453,3
8634026,4
8636794,2
8645745,2
8650573,20
8656466,1
8657294,1
8670029,0
8675223,0
8679251,3
8680079,3
8681394,4
8682969,4
8689155,20
8690719,2
8693845,2
8696895,1
8698783,1
8722721,0
8725464,0
8727385,3
8728838,20
8729812,4
8731947,3
8732939,4
8749555,2
8752533,2
8757101,1
8758414,1
8770953,20
8778411,3
8781084,3
8782752,0
8783978,4
8784746,4
8785873,0
8788383,2
8793386,2
8803873,1
8808107,20
8810426,1
8830260,3
8832567,3
8833453,0
8836026,0
8840316,4
8842272,4
8848909,20
8849857,2
8852416,2
8856081,1
8857033,1
8883532,0
8885356,0
8887345,3
8888664,4
8889841,20
8892669,3
8893203,4
8897411,2
8905233,2
8917659,1
8918691,1
8928991,20
8938445,3
8939884,3
8941293,4
8946124,0
8947346,0
8949343,2
8952776,2
8957970,20
8963306,1
8970965,1
8987677,3
8992133,3
8992917,0
8993695,4
8996168,0
8997412,2
8999402,20
9005581,2
9016110,1
9016962,1
9038150,20
9039246,4
9039488,3
9040845,3
9042062,4
9043281,0
9044216,0
9049558,2
9052669,2
9063771,1
9072531,1
9078880,20
9096374,3
9104163,0
9105316,0
9108507,2
9111884,2
9115166,1
9117050,1
9118231,20
9147303,3
9149146,4
9151000,2
9152130,3
9152529,2
9154223,4
9157845,0
9161339,20
9177418,1
9178622,1
9188412,20
9199442,3
9200153,4
9202073,3
9203423,0
9204317,4
9206304,0
9209489,2
9212796,2
9224789,1
9229759,1
9238876,20
9247651,4
9249576,3
9251367,0
9252819,3
9253129,4
9255964,0
9257568,2
9268984,2
9272785,20
9277139,1
9278499,1
9298031,3
9301039,3
9302683,4
9303345,4
9309156,20
9310450,2
9312125,0
9315038,2
9315981,0
9324286,1
9329584,1
9348257,20
9360089,0
9361324,3
9361681,4
9362497,3
9363844,0
9371254,2
9375211,2
9377853,1
9381173,1
9389545,20
9407154,3
9409206,4
9410956,2
9412123,3
9413154,4
9413477,2
9415512,0
9433130,20
9437403,1
9439810,1
9460038,4
9460363,3
9461318,3
9462767,4
9469394,20
9471603,0
9474238,2
9477027,0
9484894,1
9497147,1
9498038,20
9509260,4
9510594,3
9515120,3
9515399,4
9520723,2
9523267,0
9524720,0
9525954,2
9536942,1
9539570,1
9543127,20
9560223,4
9561915,4
9566528,3
9569933,0
9572634,3
9573123,2
9573889,2
9575543,0
9578245,20
9584845,1
9588719,1
9617682,2
9619144,20
9620511,3
9621785,3
9622126,4
9622828,4
9624369,0
9625563,0
9625936,2
9637053,1
9639658,1
9658900,20
9668524,3
9670602,4
9672219,3
9672961,2
9673943,4
9674314,2
9683847,0
9685256,0
9696325,1
9699248,1
9700742,20
9722061,4
9722958,4
9726852,3
9731378,2
9733206,2
9733781,3
9738626,20
9744498,0
9748575,0
9749313,1
9750291,1
9768680,4
9770005,20
9773195,4
9777985,2
9780512,3
9781536,3
9785130,2
9790611,0
9796328,1
9796997,1
9797289,0
9808698,20
9819912,4
9823711,4
9829286,3
9833636,3
9838389,2
9842799,0
9845474,0
9847728,2
9849335,20
9857256,1
9858086,1
9879568,3
9880273,4
9880504,3
9881657,4
9889058,20
9890675,2
9892583,2
9897383,1
9898347,1
9902856,0
9904254,0
9928234,4
9930929,20
9932019,4
9940023,3
9941033,3
9941609,2
9945165,2
9950738,0
9956869,1
9958029,0
9959060,1
9970056,20
9980511,4
9981245,4
9984563,3
9991223,2
9993234,2
9993579,3
10004110,0
10007829,0
10009724,1
10012466,20
10013280,1
10027917,4
10032914,4
10037022,3
10039553,2
10040569,3
10046339,2
10048435,20
10056396,1
10057856,1
10065339,0
10066842,0
10080389,4
10082280,4
10093432,2
10094890,20
10096768,2
10099318,3
10100047,3
10108616,0
10116055,0
10116842,1
10117593,1
10118757,20
10143035,4
10145688,4
10148845,3
10151674,2
10153288,3
10153499,2
10159884,20
10162805,0
10164469,0
10166149,1
10171918,1
10187492,4
10193207,4
10198769,20
10199590,2
10201100,3
10202591,3
10205558,2
10207789,0
10215028,0
10217088,1
10218759,1
10239419,20
10240499,4
10241442,4
10247282,3
10251548,2
10252420,3
10253396,2
10265149,1
10270660,1
10271510,0
10276091,0
10278453,20
10287326,4
10292647,4
10299496,3
10300656,3
10311553,2
10313399,2
10321595,20
10323833,0
10324807,1
10326223,0
10330286,1
10340161,4
10341128,4
10358114,2
10359057,3
10360059,3
10360946,20
10367832,2
10378808,1
10379986,1
10382176,0
10383787,0
10387713,4
10394675,4
10402751,20
10405550,3
10410851,3
10411573,2
10414302,2
10425687,1
10429060,0
10431006,1
10437123,0
10438567,20
10448492,4
10453107,4
10457888,2
10458605,3
10461171,3
10467748,2
10478232,1
10479502,20
10481042,1
10482580,0
10484265,0
10500160,4
10500758,4
10510125,2
10513208,20
10520333,3
10521659,3
10529784,1
10531420,1
10543171,0
10544332,0
10547600,4
10549717,20
10553017,4
10559794,3
10562160,3
10571557,2
10575717,2
10578426,1
10580010,1
10589007,0
10590475,20
10596167,0
10600154,4
10604703,4
10617735,3
10618967,3
10620591,2
10626035,2
10629690,20
10636640,1
10637494,1
10641435,0
10642961,0
10647238,4
10652722,4
10666021,3
10668978,20
10670916,3
10672526,2
10675253,2
10684636,1
10688513,0
10691047,1
10695281,0
10699821,4
10701014,4
10711580,20
10718342,3
10719781,3
10732886,2
10733743,2
10736856,1
10737707,1
10742434,0
10743671,0
10749038,20
10760426,4
10761193,4
10765325,3
10771375,3
10779113,2
10785388,1
10786673,2
10789414,20
10790158,1
10799492,0
10800986,4
10801883,4
10803023,0
10818517,3
10819807,3
10829231,20
10830040,2
10833779,2
10836648,1
10842710,1
10848854,0
10856340,0
10859988,4
10860678,4
10869459,20
10879877,3
10880616,3
10884221,1
10888782,1
10891191,2
10893854,2
10907264,4
10908425,20
10909698,0
10912962,4
10915887,0
10927830,3
10931201,3
10937080,2
10939808,20
10944248,1
10949003,2
10950128,1
10961078,4
10962248,4
10963406,0
10964367,0
10978301,3
10979003,20
10980009,3
10989620,2
10992560,2
10996992,1
10997589,1
11008614,0
11014679,0
11019415,20
11020256,4
11021753,4
11036864,2
11038536,3
11039798,3
11043364,1
11045156,2
11050205,1
11059021,20
11060659,4
11061606,4
11063249,0
11064505,0
11078884,3
11081765,3
11089511,2
11092661,2
11095823,1
11096696,1
11101787,20
11120326,4
11121347,4
11122881,0
11123801,0
11137464,2
11138651,3
11139876,3
11141061,20
11142320,1
11145040,2
11148898,1
11167568,4
11169278,0
11173592,4
11176027,0
11179414,20
11185952,3
11189043,2
11192183,2
11192473,3
11202678,1
11209877,1
11218920,20
11220000,4
11222745,4
11223914,0
11224721,0
11238264,3
11240928,3
11249623,2
11251651,2
11256045,1
11257302,1
11259560,20
11280762,4
11282528,0
11283903,0
11284894,4
11288811,20
11297456,2
11298404,3
11299122,3
11303245,1
11304585,2
11309708,1
11320092,4
11324177,4
11332890,0
11337282,20
11339148,0
11340462,3
11341837,3
11348335,2
11352499,2
11357520,1
11358697,1
11369316,20
11381939,4
11383113,4
11383430,0
11384400,0
11396783,2
11400714,3
11404476,3
11405225,2
11410182,20
11416225,1
11416952,1
11428812,4
11434052,4
11445524,0
11453010,0
11453412,3
11454610,2
11455413,20
11456540,1
11457363,1
11481436,4
11482206,4
11487988,0
11490186,20
11495462,0
11496295,2
11499606,3
11502739,3
11504865,2
11516799,1
11518672,20
11519965,1
11540369,4
11541333,0
11542639,0
11544199,4
11556682,2
11559561,3
11562150,3
11564478,1
11566053,2
11569587,20
11572975,1
11588511,4
11593982,4
11602675,0
11604030,0
11607921,3
11609327,20
11610253,2
11612154,3
11613159,2
11616380,1
11617622,1
11642120,4
11643270,4
11649895,0
11651557,20
11655966,0
11658093,2
11660820,3
11663623,3
11665457,1
11666626,2
11669314,1
11689321,20
11690223,4
11693047,4
11702428,0
11703786,0
11710093,2
11717032,2
11720995,20
11721800,3
11722645,3
11723850,1
11729076,1
11742486,4
11743974,4
11759735,20
11764165,0
11765484,0
11768445,3
11770389,2
11773494,3
11774714,2
11777070,1
11777985,1
11800666,20
11801242,4
11801869,4
11810099,0
11815461,0
11817641,2
11819438,3
11823380,3
11827428,1
11831946,2
11832161,1
11839420,20
11848925,4
11852978,4
11870212,3
11871594,2
11874057,3
11874443,2
11877423,1
11878149,1
11881379,20
11887099,0
11899557,4
11900895,4
11916705,2
11919136,20
11922573,0
11923375,0
11923853,1
11925801,2
11927677,3
11929119,1
11933425,3
11948899,4
11954131,4
11959886,20
11968881,0
11971779,2
11973650,2
11976210,0
11977633,1
11978770,1
11980311,3
11981804,3
11999098,20
12009237,4
12013113,4
12022583,0
12025297,0
12027944,3
12030050,2
12033034,2
12033355,3
12035660,1
12036440,1
12039870,20
12059694,4
12060984,4
12069510,20
12078645,2
12081018,3
